file_path,speaker,utt,label1
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SA2.WAV,MRCS0,SA2,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SX53.WAV,MRCS0,SX53,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SA1.WAV,MRCS0,SA1,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SX143.WAV,MRCS0,SX143,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SI1853.WAV,MRCS0,SI1853,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SX233.WAV,MRCS0,SX233,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SI1223.WAV,MRCS0,SI1223,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SX413.WAV,MRCS0,SX413,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SI593.WAV,MRCS0,SI593,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRCS0/SX323.WAV,MRCS0,SX323,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SA2.WAV,FLAS0,SA2,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SI858.WAV,FLAS0,SI858,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SI1026.WAV,FLAS0,SI1026,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SA1.WAV,FLAS0,SA1,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SX408.WAV,FLAS0,SX408,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SI1488.WAV,FLAS0,SI1488,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SX138.WAV,FLAS0,SX138,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SX228.WAV,FLAS0,SX228,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SX318.WAV,FLAS0,SX318,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/FLAS0/SX48.WAV,FLAS0,SX48,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SA2.WAV,MPAB0,SA2,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SA1.WAV,MPAB0,SA1,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SI1128.WAV,MPAB0,SI1128,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SX408.WAV,MPAB0,SX408,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SI1103.WAV,MPAB0,SI1103,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SX138.WAV,MPAB0,SX138,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SI498.WAV,MPAB0,SI498,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SX228.WAV,MPAB0,SX228,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SX318.WAV,MPAB0,SX318,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MPAB0/SX48.WAV,MPAB0,SX48,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SX299.WAV,MERS0,SX299,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SA2.WAV,MERS0,SA2,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SI1019.WAV,MERS0,SI1019,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SA1.WAV,MERS0,SA1,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SX29.WAV,MERS0,SX29,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SI1649.WAV,MERS0,SI1649,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SX209.WAV,MERS0,SX209,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SI497.WAV,MERS0,SI497,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SX119.WAV,MERS0,SX119,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MERS0/SX389.WAV,MERS0,SX389,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SX403.WAV,MRPC0,SX403,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SA2.WAV,MRPC0,SA2,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SI1753.WAV,MRPC0,SI1753,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SI493.WAV,MRPC0,SI493,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SA1.WAV,MRPC0,SA1,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SI933.WAV,MRPC0,SI933,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SX313.WAV,MRPC0,SX313,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/TIMIT/TEST/DR7/MRPC0/SX223.WAV,MRPC0,SX223,bonafide
