file_path,speaker,utt,label1
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0013.wav,AdrianBisson,7241-90850-0013,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0056.wav,AdrianBisson,7241-90852-0056,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0014.wav,AdrianBisson,7241-90852-0014,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0034.wav,AdrianBisson,7241-90850-0034,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0032.wav,AdrianBisson,7241-90852-0032,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0057.wav,AdrianBisson,7241-90852-0057,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0043.wav,AdrianBisson,7241-90852-0043,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0007.wav,AdrianBisson,7241-90850-0007,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0025.wav,AdrianBisson,7241-90850-0025,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0038.wav,AdrianBisson,7241-90850-0038,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0009.wav,AdrianBisson,7241-90852-0009,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0018.wav,AdrianBisson,7241-90850-0018,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0039.wav,AdrianBisson,7241-90852-0039,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0011.wav,AdrianBisson,7241-90850-0011,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0025.wav,AdrianBisson,7241-90852-0025,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0045.wav,AdrianBisson,7241-90852-0045,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0059.wav,AdrianBisson,7241-90852-0059,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0067.wav,AdrianBisson,7241-90852-0067,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0055.wav,AdrianBisson,7241-90852-0055,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0024.wav,AdrianBisson,7241-90852-0024,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0060.wav,AdrianBisson,7241-90852-0060,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0028.wav,AdrianBisson,7241-90852-0028,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0006.wav,AdrianBisson,7241-90850-0006,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0020.wav,AdrianBisson,7241-90850-0020,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0035.wav,AdrianBisson,7241-90852-0035,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0028.wav,AdrianBisson,7241-90850-0028,bonafide
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0041.wav,AdrianBisson,7241-90850-0041,bonafide
