path,Utterence name (file name),TTS or VC,Is multi-speaker?,Language,Noise type 1,Source link,utt,group,Model,Speaker name,Gender,Age,label
Real/LibriSpeech/wav16/7241-90850-0013.wav,7241-90850-0013.wav,-,No,English,-,-,7241-90850-0013,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0056.wav,7241-90852-0056.wav,-,No,English,-,-,7241-90852-0056,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0014.wav,7241-90852-0014.wav,-,No,English,-,-,7241-90852-0014,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0034.wav,7241-90850-0034.wav,-,No,English,-,-,7241-90850-0034,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0032.wav,7241-90852-0032.wav,-,No,English,-,-,7241-90852-0032,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0057.wav,7241-90852-0057.wav,-,No,English,-,-,7241-90852-0057,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0043.wav,7241-90852-0043.wav,-,No,English,-,-,7241-90852-0043,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0007.wav,7241-90850-0007.wav,-,No,English,-,-,7241-90850-0007,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0025.wav,7241-90850-0025.wav,-,No,English,-,-,7241-90850-0025,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0038.wav,7241-90850-0038.wav,-,No,English,-,-,7241-90850-0038,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0009.wav,7241-90852-0009.wav,-,No,English,-,-,7241-90852-0009,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0018.wav,7241-90850-0018.wav,-,No,English,-,-,7241-90850-0018,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0039.wav,7241-90852-0039.wav,-,No,English,-,-,7241-90852-0039,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0011.wav,7241-90850-0011.wav,-,No,English,-,-,7241-90850-0011,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0025.wav,7241-90852-0025.wav,-,No,English,-,-,7241-90852-0025,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0045.wav,7241-90852-0045.wav,-,No,English,-,-,7241-90852-0045,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0059.wav,7241-90852-0059.wav,-,No,English,-,-,7241-90852-0059,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0067.wav,7241-90852-0067.wav,-,No,English,-,-,7241-90852-0067,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0055.wav,7241-90852-0055.wav,-,No,English,-,-,7241-90852-0055,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0024.wav,7241-90852-0024.wav,-,No,English,-,-,7241-90852-0024,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0060.wav,7241-90852-0060.wav,-,No,English,-,-,7241-90852-0060,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90852-0028.wav,7241-90852-0028.wav,-,No,English,-,-,7241-90852-0028,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
Real/LibriSpeech/wav16/7241-90850-0006.wav,7241-90850-0006.wav,-,No,English,-,-,7241-90850-0006,LibriSpeech,-,AdrianBisson,Male,Adult,bonafide
