path,Speaker name,Utterence name (file name),TTS or VC,Is multi-speaker?,Language,Noise type 1,Source link,utt,label,group,model,Gender,Age
./wav/p310_007.wav,p310,p310_007.wav,-,No,English,-,-,p310_007,bonafide,VCTK,-,Female,Adult
./wav/p236_263.wav,p236,p236_263.wav,-,No,English,-,-,p236_263,bonafide,VCTK,-,Female,Adult
./wav/p302_246.wav,p302,p302_246.wav,-,No,English,-,-,p302_246,bonafide,VCTK,-,Male,Adult
./wav/p333_423.wav,p333,p333_423.wav,-,No,English,-,-,p333_423,bonafide,VCTK,-,Female,Adult
./wav/p253_277.wav,p253,p253_277.wav,-,No,English,-,-,p253_277,bonafide,VCTK,-,Female,Adult
./wav/p225_006.wav,p225,p225_006.wav,-,No,English,-,-,p225_006,bonafide,VCTK,-,Female,Adult
./wav/p304_357.wav,p304,p304_357.wav,-,No,English,-,-,p304_357,bonafide,VCTK,-,Male,Adult
./wav/p351_373.wav,p351,p351_373.wav,-,No,English,-,-,p351_373,bonafide,VCTK,-,Female,Adult
./wav/p376_286.wav,p376,p376_286.wav,-,No,English,-,-,p376_286,bonafide,VCTK,-,Male,Adult
./wav/p374_008.wav,p374,p374_008.wav,-,No,English,-,-,p374_008,bonafide,VCTK,-,Male,Adult
./wav/p255_322.wav,p255,p255_322.wav,-,No,English,-,-,p255_322,bonafide,VCTK,-,Male,Adult
./wav/p286_420.wav,p286,p286_420.wav,-,No,English,-,-,p286_420,bonafide,VCTK,-,Male,Adult
./wav/p275_142.wav,p275,p275_142.wav,-,No,English,-,-,p275_142,bonafide,VCTK,-,Male,Adult
./wav/p308_372.wav,p308,p308_372.wav,-,No,English,-,-,p308_372,bonafide,VCTK,-,Female,Adult
./wav/p265_259.wav,p265,p265_259.wav,-,No,English,-,-,p265_259,bonafide,VCTK,-,Female,Adult
./wav/p251_237.wav,p251,p251_237.wav,-,No,English,-,-,p251_237,bonafide,VCTK,-,Male,Adult
./wav/p231_325.wav,p231,p231_325.wav,-,No,English,-,-,p231_325,bonafide,VCTK,-,Female,Adult
./wav/p310_289.wav,p310,p310_289.wav,-,No,English,-,-,p310_289,bonafide,VCTK,-,Female,Adult
./wav/p311_406.wav,p311,p311_406.wav,-,No,English,-,-,p311_406,bonafide,VCTK,-,Male,Adult
./wav/p271_220.wav,p271,p271_220.wav,-,No,English,-,-,p271_220,bonafide,VCTK,-,Male,Adult
./wav/p287_253.wav,p287,p287_253.wav,-,No,English,-,-,p287_253,bonafide,VCTK,-,Male,Adult
./wav/p248_239.wav,p248,p248_239.wav,-,No,English,-,-,p248_239,bonafide,VCTK,-,Female,Adult
./wav/p274_372.wav,p274,p274_372.wav,-,No,English,-,-,p274_372,bonafide,VCTK,-,Male,Adult
./wav/p362_009.wav,p362,p362_009.wav,-,No,English,-,-,p362_009,bonafide,VCTK,-,Female,Adult
./wav/p343_379.wav,p343,p343_379.wav,-,No,English,-,-,p343_379,bonafide,VCTK,-,Female,Adult
./wav/p287_079.wav,p287,p287_079.wav,-,No,English,-,-,p287_079,bonafide,VCTK,-,Male,Adult
./wav/p364_047.wav,p364,p364_047.wav,-,No,English,-,-,p364_047,bonafide,VCTK,-,Male,Adult
./wav/p244_391.wav,p244,p244_391.wav,-,No,English,-,-,p244_391,bonafide,VCTK,-,Female,Adult
./wav/p245_236.wav,p245,p245_236.wav,-,No,English,-,-,p245_236,bonafide,VCTK,-,Male,Adult
./wav/p269_022.wav,p269,p269_022.wav,-,No,English,-,-,p269_022,bonafide,VCTK,-,Female,Adult
./wav/p374_363.wav,p374,p374_363.wav,-,No,English,-,-,p374_363,bonafide,VCTK,-,Male,Adult
./wav/p343_048.wav,p343,p343_048.wav,-,No,English,-,-,p343_048,bonafide,VCTK,-,Female,Adult
./wav/p233_025.wav,p233,p233_025.wav,-,No,English,-,-,p233_025,bonafide,VCTK,-,Female,Adult
./wav/p284_304.wav,p284,p284_304.wav,-,No,English,-,-,p284_304,bonafide,VCTK,-,Male,Adult
./wav/p308_197.wav,p308,p308_197.wav,-,No,English,-,-,p308_197,bonafide,VCTK,-,Female,Adult
./wav/p237_140.wav,p237,p237_140.wav,-,No,English,-,-,p237_140,bonafide,VCTK,-,Male,Adult
./wav/p292_305.wav,p292,p292_305.wav,-,No,English,-,-,p292_305,bonafide,VCTK,-,Male,Adult
./wav/p270_038.wav,p270,p270_038.wav,-,No,English,-,-,p270_038,bonafide,VCTK,-,Male,Adult
./wav/p318_081.wav,p318,p318_081.wav,-,No,English,-,-,p318_081,bonafide,VCTK,-,Female,Adult
./wav/p264_265.wav,p264,p264_265.wav,-,No,English,-,-,p264_265,bonafide,VCTK,-,Female,Adult
./wav/p306_303.wav,p306,p306_303.wav,-,No,English,-,-,p306_303,bonafide,VCTK,-,Female,Adult
./wav/p298_033.wav,p298,p298_033.wav,-,No,English,-,-,p298_033,bonafide,VCTK,-,Male,Adult
./wav/p340_421.wav,p340,p340_421.wav,-,No,English,-,-,p340_421,bonafide,VCTK,-,Female,Adult
./wav/p298_276.wav,p298,p298_276.wav,-,No,English,-,-,p298_276,bonafide,VCTK,-,Male,Adult
./wav/p280_009.wav,p280,p280_009.wav,-,No,English,-,-,p280_009,bonafide,VCTK,-,Female,Adult
./wav/p335_385.wav,p335,p335_385.wav,-,No,English,-,-,p335_385,bonafide,VCTK,-,Female,Adult
./wav/p255_331.wav,p255,p255_331.wav,-,No,English,-,-,p255_331,bonafide,VCTK,-,Male,Adult
./wav/p323_264.wav,p323,p323_264.wav,-,No,English,-,-,p323_264,bonafide,VCTK,-,Female,Adult
./wav/p266_083.wav,p266,p266_083.wav,-,No,English,-,-,p266_083,bonafide,VCTK,-,Female,Adult
./wav/p361_283.wav,p361,p361_283.wav,-,No,English,-,-,p361_283,bonafide,VCTK,-,Female,Adult
./wav/p260_284.wav,p260,p260_284.wav,-,No,English,-,-,p260_284,bonafide,VCTK,-,Male,Adult
./wav/p339_032.wav,p339,p339_032.wav,-,No,English,-,-,p339_032,bonafide,VCTK,-,Female,Adult
./wav/p228_216.wav,p228,p228_216.wav,-,No,English,-,-,p228_216,bonafide,VCTK,-,Female,Adult
